id,dominio_original_csv,dominio_tentado_verificar,erro
62177915dc14283e69d1ec42,dominio,dominio,Não foi possível verificar o certificado
62657f390c26e31ff05c300e,https://officemei.com.br/,officemei.com.br,Não foi possível verificar o certificado
62eff04f6744646da00712d8,expertmei.com.br,expertmei.com.br,Não foi possível verificar o certificado
642b223c77e4f8f8c3a58162,www.evvomei.com.br,www.evvomei.com.br,Não foi possível verificar o certificado
64da36ba5a9ac2f831c1ce31,www.newmei.com.br,www.newmei.com.br,Não foi possível verificar o certificado
64c261a2b9975d13475f5b33,www.gomei.com.br,www.gomei.com.br,Não foi possível verificar o certificado
646250952acf48adab4a04f7,www.essencialmei.com.br,www.essencialmei.com.br,Não foi possível verificar o certificado
655623ceab739227caad1d5c,https://www.luzofficemei.com.br,www.luzofficemei.com.br,Não foi possível verificar o certificado
65b293495da181e46a4cc5a6,www.agorasoupjmei.com.br,www.agorasoupjmei.com.br,Não foi possível verificar o certificado
656f9a253bda67f4f7c7b4f6,www.prosperamei.com.br,www.prosperamei.com.br,Não foi possível verificar o certificado
65e2294b2463b460a0b2160e,www.upmeicontabilidade.com.br,www.upmeicontabilidade.com.br,Não foi possível verificar o certificado
65f0a793c529a42447866fc2,moyacontabilidade.com,moyacontabilidade.com,Não foi possível verificar o certificado
65fc4f976dd8a39b79c611cf,www.bccmei.com.br,www.bccmei.com.br,Não foi possível verificar o certificado
65c1305c460bec7864af7f6a,www.amigomei.com.br,www.amigomei.com.br,Não foi possível verificar o certificado
656a4982715c55d2c6cfa0ae,www.ezraparalegal.com.br,www.ezraparalegal.com.br,Não foi possível verificar o certificado
65c27296460bec7864af882b,meimklcontabil.com.br,meimklcontabil.com.br,Não foi possível verificar o certificado
65f0a9d0c529a42447866ffe,https://www.exmei.com.br/,www.exmei.com.br,Não foi possível verificar o certificado
65e226772463b460a0b2159c,contabilimeionline.com.br,contabilimeionline.com.br,Não foi possível verificar o certificado
65d63e791fb9dd2a4fb54401,athoscontabilidadeassessoria.com.br,athoscontabilidadeassessoria.com.br,Não foi possível verificar o certificado
65e603bc2463b460a0b2264e,datacontmei.com.br,datacontmei.com.br,Não foi possível verificar o certificado
65e8abfbd761cccebb9c877d,www.expertmei.com.br,www.expertmei.com.br,Não foi possível verificar o certificado
662bdedfbfedd9adb744185e,meumei.app.br,meumei.app.br,Não foi possível verificar o certificado
66048257349481c5ab11d2bb,www.transformei.rec.br,www.transformei.rec.br,Não foi possível verificar o certificado
660488f1349481c5ab11d2d7,www.contabilidadevr.com,www.contabilidadevr.com,Não foi possível verificar o certificado
660ead8f5e62731b84f049ac,incenteasygestaomei.com.br,incenteasygestaomei.com.br,Não foi possível verificar o certificado
663b6c72c89c0699520605f6,cardinmei.com.br,cardinmei.com.br,Não foi possível verificar o certificado
66aa820b6d3c6206e26b8171,www.turbomei.com.br,www.turbomei.com.br,Não foi possível verificar o certificado
66aa85b36d3c6206e26b825a,www.escritoriodesuporte.com.br,www.escritoriodesuporte.com.br,Não foi possível verificar o certificado
66ad29b8ecd18c28c3fe08dc,www.andreinaassistentevirtual.com.br,www.andreinaassistentevirtual.com.br,Não foi possível verificar o certificado
66cded317dd27236b9bd2b14,descomplycont.com.br,descomplycont.com.br,Não foi possível verificar o certificado
671da61bc7ef0a579346e0a5,meiproassessoria.com.br,meiproassessoria.com.br,Não foi possível verificar o certificado
6726dbbd1285e87ac093bc48,http://www.soumei.org,www.soumei.org,Não foi possível verificar o certificado
674784fa4afc3f376bbf64f8,www.agilemei.com.br,www.agilemei.com.br,Não foi possível verificar o certificado
6811024f6b44ad28893858d8,httsps://www.meibemgerenciado.com.br,httsps://www.meibemgerenciado.com.br,Não foi possível verificar o certificado
682e361fcb762fd822dc55d4,http://oxcontabiliza.com.br,oxcontabiliza.com.br,Não foi possível verificar o certificado
